Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
pr-10.trace.gz,yours,N/A,0.0,61.72360987655278,0.0006286047770308909,0.0617344,0.0
pr-10.trace.gz,sisb_bo,39.62850903953221,30.157982077608388,50.510083898979836,18.16783481847692,0.0637694,3.296379328218954
450.soplex-s2.trace.gz,no,N/A,0.0,25.723411845659527,N/A,0.35619,N/A
450.soplex-s2.trace.gz,yours,N/A,0.0,25.723411845659527,0.016946667593290762,0.35619,0.0
450.soplex-s2.trace.gz,sisb_bo,68.41264895291009,51.577869966527444,13.03927,49.31830863550874,0.509435,43.023386394901586
sssp-5.trace.gz,no,N/A,0.0,21.222603957554792,N/A,0.338614,N/A
sssp-5.trace.gz,yours,N/A,0.0,21.222603957554792,0.10650860390698,0.338614,0.0
sssp-5.trace.gz,sisb_bo,33.3698658881476,19.80517199954448,19.11210996177578,10.040474022594811,0.352747,4.173778993189871
cc-13.trace.gz,no,N/A,0.0,24.412096,N/A,0.222543,N/A
cc-13.trace.gz,yours,N/A,0.0,24.412096,0.013753584102930023,0.222543,0.0
cc-13.trace.gz,sisb_bo,39.35314007984345,20.757853252690488,21.977914,9.983594816627214,0.230979,3.7907280840107305
bc-3.trace.gz,no,N/A,0.0,40.34016391931967,N/A,0.16296,N/A
bc-3.trace.gz,yours,N/A,0.0,40.34016391931967,0.005919308228206634,0.16296,0.0
bc-3.trace.gz,sisb_bo,17.95849961321538,16.850124105861777,39.696997920606,1.6001813668109204,0.160384,-1.5807560137457013
433.milc-s2.trace.gz,no,N/A,0.0,19.046075885723543,N/A,0.591886,N/A
433.milc-s2.trace.gz,yours,N/A,0.0,19.046075885723543,0.00021001657241011176,0.591886,0.0
433.milc-s2.trace.gz,sisb_bo,72.57597909821901,54.08353506942743,8.746541947520749,54.07703071849399,0.914316,54.475017148572526
462.libquantum-s2.trace.gz,no,N/A,0.0,33.06333586774666,N/A,0.481181,N/A
462.libquantum-s2.trace.gz,yours,N/A,0.0,33.06333586774666,0.0,0.481181,0.0
462.libquantum-s2.trace.gz,sisb_bo,99.9925225909395,45.54158116410274,18.00576992797692,45.54158116410274,0.757778,57.48294300897165
471.omnetpp-s1.trace.gz,no,N/A,0.0,17.252527896484832,N/A,0.309436,N/A
471.omnetpp-s1.trace.gz,yours,N/A,0.0,17.252527896484832,0.09965408855652004,0.309436,0.0
471.omnetpp-s1.trace.gz,sisb_bo,51.17861584502522,65.43232020832849,6.575555960546664,61.92440209573532,0.429176,38.69620858594347
pr-14.trace.gz,no,N/A,0.0,56.02631988794736,N/A,0.0653621,N/A
pr-14.trace.gz,yours,N/A,0.0,56.02631988794736,0.002073982193240986,0.0653621,0.0
